Immune_fraction,<I>
0.0,0.25488977777777777
0.05,0.22465955555555556
0.1,0.19007377777777779
0.15000000000000002,0.15036177777777776
0.2,0.10405244444444445
0.25,0.04693511111111111
0.30000000000000004,0.002500888888888889
0.35000000000000003,3.333333333333333e-05
0.4,7.111111111111112e-05
0.45,0.0
0.5,0.0
0.55,0.0
0.6000000000000001,0.0
0.65,0.0
0.7000000000000001,0.0
0.75,0.0
0.8,0.0
0.8500000000000001,0.0
0.9,0.0
0.9500000000000001,0.0
1.0,0.0
